Lower tier local authorities,Type,cx,cy,Heating Does not apply,No central heating,Mains gas only,Tank or bottled gas only,Electric only,Oil only,Wood only,Solid fuel only,Renewable energy only,District or communal heat networks only,Other central heating only,Two or more (not including renewable energy),Two or more types (including renewable energy),Deprived House does not apply,Household is not deprived in any dimension,Household is deprived in one dimension,Household is deprived in two dimensions,Household is deprived in three dimensions,Household is deprived in four dimensions,total deprived household in one or more dimensions
Blackburn with Darwen,Borough,-2.4677,53.6968,0,985,47488,289,2609,315,25,67,85,228,727,5730,218,0,24187,19982,10718,3692,188,34580
Blackpool,City,-3.0357,53.8175,0,1492,50688,169,6062,57,70,24,24,144,631,5318,115,0,24769,22750,12785,4183,302,40020
Blaenau Gwent,District,-3.1639,51.7774,0,173,25733,163,684,107,30,188,35,120,236,2767,102,0,11632,10104,6291,2256,57,18708
Bolsover,Borough,-1.2936,53.2363,0,226,29303,221,1047,345,49,576,79,85,241,2918,172,0,15065,12160,6318,1672,46,20196
Bolton,District,-2.4264,53.5785,0,1747,96195,402,8045,250,42,90,104,643,1346,9650,275,0,51290,40539,20373,6244,343,67499
Boston,Borough,-0.0213,52.9785,0,324,19732,488,2315,3165,93,163,190,106,199,2446,183,0,12014,11351,4775,1181,83,17390
Bournemouth,City,-1.8808,50.7208,0,2673,134200,637,20210,248,62,33,269,1251,999,12416,843,0,83966,59166,24231,5889,590,89876
Bracknell Forest,District,-0.7497,51.4135,0,454,39365,353,5223,232,7,5,126,155,318,3719,287,0,28327,15641,5132,1069,79,21921
Bradford,City,-1.7577,53.795,0,4539,164616,1050,15172,702,114,127,258,968,3439,18321,560,0,90141,72227,35313,11416,770,119726
Braintree,District,0.5545,51.8776,0,740,42855,548,6852,7026,138,77,315,155,318,5529,434,0,32486,22192,8442,1768,96,32498
Breckland,District,0.8783,52.5291,0,630,29850,927,5779,14278,275,204,1271,114,309,5992,730,0,27457,22262,8786,1773,83,32904
Brent,District,-0.3054,51.5588,0,2662,82428,858,15907,118,12,8,198,2689,3028,10356,344,0,47376,43300,21017,6328,591,71236
Brentwood,Borough,0.3036,51.6214,0,334,25904,176,2520,405,20,15,61,142,157,2482,127,0,17935,10172,3465,716,54,14407
Bridgend,County,-3.576,51.5073,0,302,53087,510,1698,600,52,211,106,123,385,4994,293,0,28315,20477,10372,3104,91,34044
Brighton and Hove,City,-0.1367,50.8278,0,2844,91393,358,14451,200,27,20,212,1902,907,8567,521,0,58122,40060,17461,5195,563,63279
Bristol,City,-2.5879,51.4545,0,3110,143784,617,24851,262,93,83,396,2420,1686,13383,953,0,96135,60901,26503,7515,584,95503
Broadland,Borough,1.376,52.6611,0,482,39973,694,3590,6384,177,107,656,98,171,4923,504,0,29450,19966,7131,1170,42,28309
